"STN
Code",Name of Monitoring Location,Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
4502,RAMAMMANA KERE,TANK,KARNATAKA,25.0,25.0,2.8,6.9,7.2,8.4,896,1365,5.0,20.0,2.00,4.00,1200,94000,35000,1600000
4513,RAMAMMANA KERE,TANK,KARNATAKA,25.0,25.0,1.6,6.5,6.2,7.2,230,1366,2.0,47.0,0.56,3.51,3300,150000,24000,1600000
4531,RAYASANDRA LAKE,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.7,7.9,1035,1563,5.0,20.0,1.15,24.00,7900,94000,54000,540000
4498,"SANAVALLI DAM, MUNGOD",TANK,KARNATAKA,23.0,28.0,7.1,7.4,6.8,7.3,163,251,2.2,2.7,0.30,0.79,2,8,19,31
3672,SANKALAPURAKERE TANK,TANK,KARNATAKA,22.0,27.0,4.1,6.4,7.4,7.9,450,700,2.0,2.6,0.30,0.30,170,460,1100,3500
3594,SANKEY TANK,TANK,KARNATAKA,25.0,25.0,4.9,6.8,6.5,7.6,267,815,3.0,8.0,0.56,3.00,490,3300000,2400,24000000
3667,SATHENAHALLIDODDAKERE TANK,TANK,KARNATAKA,22.0,28.0,4.5,6.2,7.6,8.1,780,1280,3.0,4.0,0.50,1.50,220,610,1600,4000
3674,SATHYAMANGALA KERE,TANK,KARNATAKA,22.0,28.0,5.4,6.5,7.5,7.9,370,470,1.8,2.4,0.30,0.30,140,340,1100,2400
3694,SHANTHISAGARKERE TANK,TANK,KARNATAKA,25.0,28.0,6.0,7.3,7.7,8.3,104,330,2.0,3.0,0.30,0.47,-,-,-,-
3677,SHARANABASAVESHWARA KERE,TANK,KARNATAKA,26.0,30.0,6.0,8.2,7.5,8.4,1035,1670,3.0,6.0,0.30,1.80,630,1400,2200,5400
3600,SHIVAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.5,7.6,762,4110,5.0,83.0,2.00,9.19,4000,9400000,35000,54000000
3689,SOMESHWARAKERE TANK,TANK,KARNATAKA,23.0,25.0,5.8,6.8,7.1,7.9,732,1340,3.3,4.5,1.02,1.32,13,58,70,196
3668,SOUDRALLI KERE,TANK,KARNATAKA,21.0,27.0,4.3,5.9,7.3,7.8,690,1150,2.9,3.8,0.30,0.90,340,490,2200,3500
3633,SUBRAMANYAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,4.8,6.5,7.6,969,2005,5.0,50.0,0.80,11.50,4600,940000,35000,5400000
3688,SUDANAKERE TANK,TANK,KARNATAKA,23.0,26.0,6.9,7.3,7.7,8.2,581,790,3.4,3.9,0.52,0.79,41,136,221,394
3690,UNAKALKERE TANK,TANK,KARNATAKA,25.0,26.0,6.9,7.3,7.7,8.3,876,1008,3.3,3.9,1.02,1.12,21,63,120,185
3640,UTTARAHALLI DORAIKERE,TANK,KARNATAKA,25.0,25.0,0.3,7.1,6.7,9.3,192,450,4.0,48.0,0.52,2.08,2700,94000,24000,540000
3632,VEERAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.5,6.5,8.1,309,5860,3.0,124.0,0.80,9.00,4600,94000,24000,540000
3603,VENGAIHNAKERE,TANK,KARNATAKA,24.0,25.0,1.9,6.2,6.5,7.2,667,1330,2.0,81.0,0.80,12.00,2300,110000,24000,920000
3691,VIMANABHUTHIKERE TANK,TANK,KARNATAKA,25.0,32.0,6.2,7.7,7.2,8.3,92,290,2.0,2.2,0.30,0.50,-,-,-,-
3630,YELAHANKA TANK,TANK,KARNATAKA,25.0,25.0,4.0,6.9,6.5,8.5,512,1120,4.0,14.0,1.20,3.70,140,94000,24000,1600000
3605,YELLAMALLAPPA TANK,TANK,KARNATAKA,25.0,25.0,3.1,5.6,6.6,7.6,887,1791,5.0,14.0,0.70,8.12,3300,170000,24000,920000
1579,"ALAPPUZHA, KERALA",LAKE,KERALA,29.0,30.0,5.4,7.8,6.9,7.5,148,1168,1.0,4.0,0.30,0.80,2,1400,2,2200
1441,"ASHTHAMUDI LAKE AT QUILON, KERALA",LAKE,KERALA,22.0,24.0,5.1,6.1,6.3,7.4,15000,18410,1.0,3.5,0.30,2.70,100,150,350,610
1578,"KAYAMKULAM, KERALA",LAKE,KERALA,29.0,30.0,3.1,5.6,6.9,8.0,1285,7651,1.4,5.9,0.30,0.30,200,1700,400,3500
1577,"KODUNGALLOOR, KERALA",LAKE,KERALA,26.0,31.0,5.7,8.0,6.5,8.7,100,33520,1.0,2.4,0.30,2.40,100,2000,630,6300
2312,LAKE VEMBANAD AT PATHIRAMANAL (ALAPPUZHA),LAKE,KERALA,28.0,29.0,6.1,7.9,6.6,7.4,131,1314,1.0,3.8,0.30,0.30,2,1400,2,4100
1383,"ORUVATHILKOTTA LAKE, KERALA",LAKE,KERALA,26.0,27.0,1.6,3.2,6.4,7.8,173,240,1.0,7.2,0.30,0.30,920,1700,2100,3100
1574,"PARAVUR, KERALA",LAKE,KERALA,20.0,23.0,5.1,6.9,6.2,7.6,12140,16130,1.0,2.3,0.30,1.80,94,140,380,490
2318,PAZHASSI RESERVOIR (KANNUR),LAKE,KERALA,24.0,30.0,6.7,8.0,6.6,7.8,47,73,1.0,1.2,0.30,0.30,20,80,100,620
1576,"PERIYAR LAKE AT THEKKADY, KERALA",LAKE,KERALA,24.0,26.0,6.5,7.8,6.7,7.6,36,44,1.0,1.0,0.30,0.30,2,2,2,100
1580,"POOKOTE, KERALA",LAKE,KERALA,25.0,29.0,6.9,8.2,6.5,7.0,24,29,1.0,1.5,0.30,0.30,2,27,14,79
2329,RSVR AT BHOOTHATHANKETU,LAKE,KERALA,24.0,29.0,6.9,8.2,6.2,8.1,23,56,1.0,1.3,0.30,0.70,47,3500,84,5400
2330,RSVR AT EDAMALAYAR,LAKE,KERALA,25.0,29.0,6.9,8.2,6.4,7.7,21,48,1.0,1.0,0.30,0.30,2,120,12,400
2328,RSVR AT MALAMPUZHA,LAKE,KERALA,22.0,31.0,6.1,7.8,6.8,7.8,77,138,1.0,3.4,0.30,3.60,2,700,100,1200
1385,"SASTHAMCOTTA LAKE, KERALA",LAKE,KERALA,21.0,25.0,6.5,7.5,6.4,7.8,162,185,1.0,2.0,0.30,0.70,70,110,240,410
3470,"VELLAYANI LAKE AT VANDITHADOM, THIRUVANANTHAPURAM",LAKE,KERALA,26.0,27.0,5.2,7.1,5.7,6.9,105,165,1.7,3.8,0.30,0.30,200,700,700,1700
1575,"VEMBANAD LAKE,KOCHI (OIL TANKER JETTY), KERALA",LAKE,KERALA,27.0,31.0,3.4,7.8,6.3,7.9,200,42380,1.0,3.6,0.30,2.70,630,32000,1500,200000
3462,MANANCHIRA POND AT KOZHEKODE,POND,KERALA,23.0,32.0,6.5,8.2,6.7,8.0,43,190,1.0,2.1,0.30,0.72,20,810,40,1300
2325,"POND AT (PADMANABHA) SREE
PADMANABHA SWAMY TEMPLE (TVPM)",POND,KERALA,26.0,27.0,2.5,6.7,7.0,7.9,248,282,3.7,7.8,0.30,0.30,1000,2200,3100,7000
4557,POND C/O MOHIDHEEN PALLI,POND,LAKSHADWEEP,27.9,31.3,-,-,7.1,9.2,229,515,-,-,0.32,0.32,2,2,2,2
1401,POND NEAR JUMA MASJID,POND,LAKSHADWEEP,28.0,30.0,9.0,9.0,7.1,9.5,300,900,1.0,1.0,0.32,0.32,5,5,1600,1600
4568,POND NEAR KULAPPINAKKAL,POND,LAKSHADWEEP,28.1,31.1,-,-,6.4,7.6,658,824,-,-,-,-,-,-,-,-
2132,BILAWALI TALAB AT INDORE,LAKE,"MADHYA
PRADESH",19.0,24.3,6.8,7.9,7.4,8.8,326,512,1.0,2.0,0.54,4.42,2,2,43,63
3296,CHORAL DAM NEAR INDORE,LAKE,"MADHYA
PRADESH",20.0,24.0,7.0,7.8,7.1,8.4,325,573,1.0,1.3,0.02,1.01,2,2,40,58
4615,GANGA SAGAR JABALPUR,LAKE,"MADHYA
PRADESH",17.0,28.2,5.8,7.3,7.1,8.2,280,764,2.7,6.0,0.30,0.77,2,110,43,920
2135,GOVINDGARH LAKE,LAKE,"MADHYA
PRADESH",19.2,32.9,6.7,7.9,7.0,8.1,204,288,1.0,1.6,0.35,1.18,2,2,33,47
2141,JANUNIA TALAB NEAR W/S,LAKE,"MADHYA
PRADESH",20.0,32.0,6.0,8.6,6.8,8.1,215,524,1.4,8.4,0.33,9.17,2,180,49,24000
2142,"KALISINDH RESERVOIR AT SARANGPUR,
RAJGARH",LAKE,"MADHYA
PRADESH",20.0,24.0,7.0,7.9,7.2,7.9,250,490,1.4,2.4,0.30,0.50,2,2,24,34
3845,"KANHARGAON STOP DAM WATER
SUPPLY INTAKE OF CHHINDWARA TOWN",LAKE,"MADHYA
PRADESH",17.0,30.0,7.1,7.9,7.1,8.9,511,713,1.0,1.8,2.20,3.00,3,4,14,43
2140,"KERWA DAM NEAR REST HOUSE, BPL",LAKE,"MADHYA
PRADESH",19.0,30.0,5.2,10.4,7.1,8.3,183,422,1.0,1.4,1.88,6.66,2,180,110,35000
2128,"KHANDARI RESERVOIR WATER OFF TAKE
POINT",LAKE,"MADHYA
PRADESH",16.6,27.0,7.1,8.3,7.2,8.1,238,411,1.0,1.9,0.13,0.40,2,4,8,48
4622,"KOPTAL LAKE AT WATER SUPPLY INTAKE
POINT CHHATARPUR",LAKE,"MADHYA
PRADESH",22.0,30.0,4.3,7.1,7.2,8.5,243,702,1.0,2.9,0.05,0.47,2,2,4,38
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,LAKE,MADHYA PRADESH,19.0,33.0,4.7,8.3,7.2,8.0,226,509,1.2,8.0,3.80,15.23,2,920,150,120000
2130,"MADHAV LAKE, SHIVPURI",LAKE,MADHYA PRADESH,20.0,27.0,5.2,7.8,7.6,8.1,278,800,1.7,3.2,0.60,0.98,2,8,32,110
1466,"MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P(.TAPTI NEAR AMARAWATI, ROAD BRIDGE AT
VILLAGE KHEDA)",LAKE,MADHYA PRADESH,17.0,32.0,7.0,8.0,7.3,8.2,611,813,1.2,1.8,2.20,2.90,3,7,15,75
2134,NAGCHUN TALAB AT KHANDWA,LAKE,"MADHYA
PRADESH",19.0,23.8,6.2,7.7,6.1,8.5,260,371,1.0,1.8,0.62,4.08,2,2,36,63
2136,"SHAHPURA LAKE AT WEIR NEAR
AYUSHMAN HOSPITAL, BHOPAL",LAKE,"MADHYA
PRADESH",20.0,33.0,2.0,10.2,6.8,8.6,445,738,4.8,12.0,3.35,21.39,14,2100,280,220000
2133,SIRPUR TALAB AT INDORE,LAKE,"MADHYA
PRADESH",20.0,23.0,6.7,7.8,7.4,8.2,344,796,1.0,1.4,0.68,1.22,2,2,34,63
4614,SUPTAL JABALPUR,LAKE,"MADHYA
PRADESH",17.0,27.7,6.0,7.7,7.1,7.8,368,690,2.6,5.0,0.30,0.60,2,350,46,1600
2139,UPPER LAKE AT BAIRAGARH CLUB,LAKE,MADHYA PRADESH,19.0,32.0,4.1,8.0,7.4,8.1,211,285,1.0,1.7,2.22,5.03,2,3500,240,92000
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",LAKE,MADHYA PRADESH,19.0,32.0,5.0,8.1,7.2,7.7,208,305,1.1,4.2,2.43,3.90,2,4700,150,43000
2138,UPPER LAKE AT KARBALA CLUB,LAKE,MADHYA PRADESH,20.0,32.0,5.0,8.6,7.3,8.1,205,256,1.2,4.0,2.25,5.01,2,2600,110,92000
2137,UPPER LAKE AT YATCH CLUB,LAKE,MADHYA PRADESH,20.0,31.0,4.7,8.6,7.3,8.2,210,288,1.1,3.6,2.03,4.75,2,3500,140,54000
2131,YASHWANT SAGAR AT INDORE,LAKE,MADHYA PRADESH,20.0,24.0,6.6,7.9,7.6,8.5,493,743,1.0,2.2,0.65,1.12,2,2,40,70
3850,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,POND,MADHYA PRADESH,20.0,24.0,6.9,7.8,7.4,8.4,327,424,1.0,1.3,0.54,1.92,2,2,33,403
3831,"DAL SAGAR TALAB, DIST SEONI",POND,MADHYA PRADESH,16.0,30.3,6.0,7.6,7.3,7.9,220,612,1.8,4.4,0.30,2.30,2,120,17,1600
3830,"GOKALPUR TALAB, DIST JABALPUR",POND,MADHYA PRADESH,17.3,27.6,5.7,7.6,7.3,8.7,180,671,2.4,8.0,0.30,0.73,2,150,14,1600
3299,HANUMANTAL JABALPUR,POND,"MADHYA
PRADESH",17.0,27.9,5.3,7.6,7.2,7.9,260,636,2.3,4.0,0.30,0.73,2,70,41,1600
3297,"MITHA TALAB, DEWAS",POND,MADHYA PRADESH,22.0,29.0,6.8,7.9,7.2,8.5,339,440,1.6,2.9,0.32,1.00,2,6,47,110
3301,MOTI TALAB AT BALAGHAT,POND,MADHYA PRADESH,16.2,31.0,6.2,7.8,7.2,7.9,262,687,1.1,5.2,0.21,0.30,2,110,17,920
3302,"PIPLIYA PALA TALAB, INDORE",POND,MADHYA PRADESH,19.0,24.0,6.5,7.6,7.4,8.7,440,621,1.2,2.2,0.81,3.09,2,2,63,140
3298,POND WATER AT LAKODA,POND,"MADHYA
PRADESH",11.4,25.0,6.8,7.5,7.2,7.9,210,592,1.7,2.1,0.61,1.02,2,4,48,49
3303,"RANI TALAB, REWA",POND,"MADHYA
PRADESH",19.0,30.0,5.8,7.5,7.5,8.5,288,415,1.0,1.9,0.48,0.90,2,2,33,48
3300,"RANITAL TALAB, JABALPUR",POND,"MADHYA
PRADESH",17.0,26.0,5.2,8.3,7.2,8.2,265,780,2.8,8.0,0.12,4.60,2,280,63,1600
3304,"RIHAND RESRVOIR, SINGRAULI",POND,"MADHYA
PRADESH",15.0,36.0,6.5,7.6,7.1,7.5,203,530,1.4,1.8,0.32,3.17,-,-,-,-
3849,SITAPAT TALAB DHAR,POND,"MADHYA
PRADESH",20.0,23.0,0.3,7.8,"7.54
4",8.2,5,529,1.0,1.2,0.61,1.00,2,2,33,49
2129,"PERIAT TANK NEAR WSS INTAKE POINT
JABALPUR",TANK,"MADHYA
PRADESH",16.6,27.4,7.0,7.9,7.2,7.9,210,358,1.0,1.8,0.21,0.40,2,4,7,46
1426,LOKTAK LAKE AT BISHNUPUR,LAKE,MANIPUR,18.0,28.0,6.6,7.6,6.4,7.5,180,205,2.7,3.5,-,-,25,65,70,120
1630,LOKTAK LAKE AT KARANG ISLAND,LAKE,MANIPUR,19.0,28.0,6.8,7.3,6.9,7.5,150,240,3.0,3.7,-,-,10,20,15,60
1629,LOKTAK LAKE AT SENDRA,LAKE,MANIPUR,19.0,28.0,6.5,7.6,6.8,7.5,130,210,2.9,3.6,-,-,10,75,60,105
1425,LOKTAK LAKE AT THANA,LAKE,MANIPUR,18.7,28.0,6.8,7.4,6.9,7.7,150,215,3.1,3.6,-,-,10,45,50,95
2837,PUMLEN LAKE AT TOKPACHING,LAKE,MANIPUR,20.0,28.0,6.9,7.6,7.0,7.4,130,286,3.2,3.6,-,-,5,25,30,60
2849,CHANAM PUKHURI,POND,MANIPUR,19.0,28.0,5.8,6.9,7.0,7.6,110,430,3.3,3.9,0.30,0.30,30,60,75,175
2841,HIRANMEI PUKHURI AT THOUBAL,POND,MANIPUR,20.0,28.0,6.2,7.5,7.0,7.5,80,450,3.2,3.9,-,-,35,70,70,120
2840,LAMJAO PUKHURI AT ACHOUBA,POND,MANIPUR,21.0,28.0,6.7,7.4,7.2,7.5,80,350,3.1,3.6,-,-,2,20,25,50
2842,LANGMEIDONG PUKHURI AT THOUBAL,POND,MANIPUR,21.0,28.0,6.5,7.5,7.1,7.5,90,300,3.2,3.7,-,-,2,40,35,70
2844,LILONG PUKHURI,POND,MANIPUR,18.0,27.0,6.5,7.4,7.2,7.6,90,340,3.0,3.7,-,-,5,15,20,65
2850,NINGTHEM PUKHURI,POND,MANIPUR,21.0,28.0,5.4,6.8,6.9,7.7,150,350,3.3,4.4,-,-,40,70,105,185
2848,POND AT KAKWA BAZAR,POND,MANIPUR,21.0,28.0,5.5,7.1,7.0,7.7,150,660,3.4,4.1,-,-,35,65,85,170
2851,POND AT KONGBA BAZAR,POND,MANIPUR,21.0,28.0,5.3,7.0,6.9,7.6,280,610,3.4,4.6,-,-,60,95,215,310
2843,POND AT LALAMBUNG,POND,MANIPUR,20.0,27.0,6.4,7.1,6.8,7.4,90,320,3.2,3.7,-,-,20,40,50,110
2847,POND AT MAIBAM LOKPACHING,POND,MANIPUR,20.0,28.0,6.0,7.8,6.9,7.5,120,230,3.0,3.9,-,-,10,50,35,160
2846,POND AT MOIDANGPOK,POND,MANIPUR,20.0,28.0,6.2,7.8,7.0,7.6,80,175,2.9,3.6,-,-,2,15,15,50
2845,POND AT NGAIRANGBAM,POND,MANIPUR,21.0,27.0,6.6,7.8,7.3,7.6,80,190,2.8,3.7,-,-,10,62,20,75
2839,PUKHRI AT LANGMEIDONG,POND,MANIPUR,21.0,28.0,6.7,7.7,7.1,7.6,80,350,3.2,3.6,-,-,10,30,30,95
3349,"TASEK LAKE AT SONGSAK (NAPHAK),",LAKE,MEGHALAYA,17.1,29.0,6.5,7.0,6.9,7.3,61,78,1.5,2.2,0.42,0.56,110,170,450,540
1459,"THADLASKEIN LAKE, JOWAI",LAKE,MEGHALAYA,12.0,21.0,6.8,7.6,6.9,7.3,37,70,1.4,1.9,0.32,0.52,10,17,130,170
1347,UMIAM LAKE AT BARAPANI,LAKE,MEGHALAYA,15.0,23.1,5.7,6.8,7.0,7.8,74,117,5.2,7.8,0.32,1.12,380,420,1100,1700
3347,UMIAM LAKE AT MIDDLE POINT,LAKE,MEGHALAYA,15.0,23.0,5.5,6.8,7.1,7.8,73,105,4.8,7.5,0.35,1.02,310,410,830,1300
3346,"UMIAM LAKE AT OUTFALL OF UMIAM
INTO LAKE",LAKE,MEGHALAYA,14.0,23.1,4.5,5.9,7.2,7.9,77,250,6.0,9.0,0.32,1.22,350,520,920,2100
3348,"UMIAM LAKE ATNEAR UNITED
CHRISTIAN COLLEGE",LAKE,MEGHALAYA,15.0,23.2,5.6,6.6,6.8,7.8,69,130,5.3,7.0,0.32,0.66,340,460,940,1700
1348,WARD'S LAKE AT SHILLONG,LAKE,MEGHALAYA,14.0,26.0,6.0,7.8,7.0,7.8,110,145,2.1,3.6,0.32,0.79,70,120,350,490
3723,"TAMDIL LAKE, SAITUAL",LAKE,MIZORAM,13.0,22.0,6.7,12.7,6.4,7.6,58,283,1.0,2.2,0.02,0.03,-,-,-,-
3722,LAWBUAI FISHPOND,POND,MIZORAM,16.0,29.0,4.1,9.5,6.6,7.8,234,422,1.2,3.2,0.03,0.12,-,-,-,-
3755,"POND NEAR THERMAL POWER PLANT, BAIRABI",POND,MIZORAM,20.0,30.0,5.0,8.9,7.1,7.7,195,347,1.2,2.9,0.02,0.06,-,-,-,-
3743,"PHE RESERVOIR, HELIPAD, NEW SAIHA",TANK,MIZORAM,17.0,22.0,6.8,9.2,6.7,7.8,34,379,1.0,2.6,0.02,0.03,-,-,-,-
2887,"BANGLA FISHERY, DIMAPUR",LAKE,NAGALAND,19.0,34.3,3.2,6.2,6.5,8.0,88,550,1.5,2.6,0.30,1.70,-,-,-,-
2886,"PUDUMPUKHURI, DIMAPUR",LAKE,NAGALAND,19.0,41.0,1.4,6.8,2.0,7.8,72,250,1.3,2.8,0.60,1.60,-,-,-,-
3956,ANSHUPA AT BISHNUPUR,LAKE,ODISHA,19.0,35.0,5.2,7.5,6.6,8.0,111,184,1.2,2.6,0.32,0.62,700,4900,2400,17000
3957,ANSHUPA AT SARANDAGARH,LAKE,ODISHA,20.0,33.0,4.0,7.7,6.5,8.2,96,223,1.1,2.2,0.32,1.15,130,2300,790,9200
3955,ANSHUPA AT SUBARANAPUR,LAKE,ODISHA,20.0,34.0,6.2,7.8,6.5,8.5,102,181,1.1,1.9,0.32,1.02,130,3500,490,16000
2438,ANSHUPA LAKE KADALIBARI,LAKE,ODISHA,20.0,32.0,5.8,7.8,6.9,8.4,117,259,1.1,2.3,0.32,1.22,220,1700,1300,4700
3953,CHILKA AT RAMBHA,LAKE,ODISHA,14.0,32.0,5.6,11.0,6.9,8.5,106,40520,1.3,2.7,0.32,1.66,2,2300,2,4900
2437,"CHILKA LAKE AT SATAPADA (RAMSAR
SITE)",LAKE,ODISHA,20.0,32.0,5.8,9.6,6.9,8.4,2930,42780,1.2,1.9,0.35,1.59,2,1700,20,3500
3954,TAMPADA LAKE AT CHHATRAPUR,LAKE,ODISHA,13.0,30.0,3.0,11.5,7.9,8.5,147,945,1.9,6.0,0.32,2.12,110,1700,460,3500
2431,"BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY) (NORTH) (LINGRAJ
TEMPLE)",POND,ODISHA,22.0,33.0,4.1,9.1,6.5,8.0,236,420,1.1,2.8,0.32,1.52,2,24000,170,54000
2434,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),POND,ODISHA,25.0,34.0,2.0,11.9,7.6,9.4,283,561,3.8,5.7,0.32,1.72,20,35000,45,54000
3962,JAGANNATH SAGAR POND OF JEYPORE,POND,ODISHA,12.0,29.0,5.7,6.4,7.1,7.6,216,402,1.4,2.7,0.32,1.84,140,160000,490,160000
2433,"MARKANDA POKHARI ( RILIGIOUS POND
OF PURI CITY)",POND,ODISHA,25.0,34.0,3.2,12.5,7.4,9.4,380,688,3.4,8.3,0.35,8.62,45,13000,45,24000
2432,"NARENDRA POKHARI ( RILIGIOUS POND
OF PURI CITY)",POND,ODISHA,25.0,34.0,4.2,15.7,7.7,9.5,356,961,3.6,8.2,0.32,2.92,130,1300,490,9200
2436,"PARVATI SAGAR ( RILIGIOUS POND OF
PURI CITY)",POND,ODISHA,25.0,35.0,2.1,11.1,6.9,9.3,332,599,3.3,12.0,0.32,3.46,45,2400,130,5400
3963,RANIGUDA POND,POND,ODISHA,22.0,26.0,2.8,12.6,7.3,8.4,392,1334,3.4,9.5,0.32,11.52,130,1300,490,2800
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),POND,ODISHA,23.0,35.0,3.3,15.6,7.5,9.3,298,745,3.6,8.0,0.32,13.34,45,2400,170,4300
1686,BAHOUR LAKE,LAKE,PUDUCHERRY,28.0,33.0,5.2,5.6,7.1,7.5,198,375,1.0,2.5,0.32,1.22,2,23,350,1600
4634,KANAGAN LAKE,LAKE,PUDUCHERRY,29.0,33.0,6.7,14.1,7.6,9.1,570,1682,2.8,30.0,0.32,4.30,110,500,900,1600
1396,OUSTERI LAKE,LAKE,PUDUCHERRY,28.0,32.0,5.1,9.3,6.3,8.0,197,283,1.0,2.3,0.32,0.82,2,110,2,1600
1297,"HARIKE LAKE AT HARIKE VILLAGE,
PUNJAB",LAKE,PUNJAB,15.0,29.0,6.7,9.0,7.6,8.1,207,295,1.0,2.7,0.60,2.90,320,1300,910,3300
1382,"HARIKE LAKE D/S FROM CANAL, PUNJAB",LAKE,PUNJAB,15.0,29.0,5.9,9.4,7.5,8.1,188,340,1.0,3.8,0.60,5.60,110,1700,490,4100
2912,"RANJIT SAGAR RESERVOIR, PUNJAB",LAKE,PUNJAB,7.0,37.0,7.0,8.2,7.5,8.3,135,234,1.0,1.0,0.30,0.70,20,40,79,140
1481,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED, RAJASTHAN",LAKE,RAJASTHAN,23.0,28.0,5.9,7.3,7.8,8.7,590,867,1.9,2.8,1.84,6.42,39,93,75,210
2940,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",LAKE,RAJASTHAN,24.0,29.0,4.4,5.2,7.9,8.9,730,11113,1.8,4.1,3.09,8.22,150,460,460,1100
4178,"GOVERDHAN SAGAR, UDAIPUR",LAKE,RAJASTHAN,20.0,28.0,4.9,5.8,7.6,8.5,480,1283,1.1,3.3,1.84,6.22,240,460,460,1100
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",LAKE,RAJASTHAN,29.0,29.0,4.0,4.4,7.2,7.2,110,279,1.0,1.4,0.74,1.26,23,93,64,150
2941,"JAISAMAND LAKE, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",LAKE,RAJASTHAN,23.0,28.0,7.1,7.8,8.3,9.0,530,777,1.2,2.1,1.66,3.54,23,75,75,150
2942,"JAISAMAND LAKE, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",LAKE,RAJASTHAN,24.0,28.0,7.2,7.8,8.4,8.9,520,665,1.3,2.4,1.42,3.37,39,75,64,150
2944,"JALMAHAL, JAIPUR, RAJASTHAN",LAKE,RAJASTHAN,18.0,30.0,0.5,4.4,8.5,9.2,1210,2670,3.2,5.9,2.50,10.32,93,460,210,1100
2935,"JET SAGAR LAKE, BUNDI, RAJASTHAN",LAKE,RAJASTHAN,19.0,33.0,3.7,4.4,7.4,8.6,270,435,2.3,3.2,1.56,4.08,150,240,460,460
1714,"KAYALANA JHEEL JODHPUR, RAJASTHAN",LAKE,RAJASTHAN,21.0,26.0,6.9,9.0,7.3,8.5,270,408,1.0,2.1,0.64,2.61,23,93,64,150
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA,
RAJASTHAN",LAKE,RAJASTHAN,18.0,32.0,2.1,6.6,7.7,8.6,460,1177,2.1,4.1,1.82,7.84,150,460,240,1100
1716,"NAKKI LAKE, MT. ABU, RAJASTHAN",LAKE,RAJASTHAN,14.0,25.5,4.4,6.7,7.6,8.3,230,420,1.3,3.4,1.37,3.84,64,150,120,210
4795,"NELA TALAB, SECTOR-14 HIRAN MARG, UDAIPUR",LAKE,RAJASTHAN,20.0,28.0,3.3,7.2,7.6,8.9,460,1154,2.0,3.9,1.78,3.53,75,240,150,460
1285,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",LAKE,RAJASTHAN,22.0,29.0,5.8,6.2,7.5,8.5,440,607,1.5,2.3,1.72,5.42,23,39,39,75
1414,"PUSHKAR LAKE, RAJASTHAN",LAKE,RAJASTHAN,19.0,29.0,3.6,8.5,7.3,8.0,220,390,2.2,4.5,1.26,5.36,23,93,93,150
2938,"RAJSAMAND LAKE , RAJSAMAND- POINT
NO. 1, RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,17.0,26.0,5.2,7.7,8.2,8.9,460,790,1.5,2.6,1.12,3.53,23,150,93,240
2939,"RAJSAMAND LAKE , RAJSAMAND- POINT
NO. 2, RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,17.0,27.0,4.6,7.2,8.3,9.3,450,771,1.2,2.6,1.43,4.68,75,240,120,460
2937,"SILISERH LAKE, ALWAR, RAJASTHAN",LAKE,RAJASTHAN,20.0,30.0,5.2,6.6,7.1,8.9,160,292,1.0,1.7,1.04,2.67,14,75,20,150
4177,SWAROOP SAGAR LAKE,LAKE,RAJASTHAN,20.0,27.0,4.1,5.7,8.0,8.9,460,790,1.0,2.4,2.05,3.52,4,93,120,210
1286,"UDAISAGAR LAKE AT UDAIPUR (INTAKE
PT.) RAJASTHAN",LAKE,RAJASTHAN,20.0,28.0,4.6,6.0,7.3,8.5,1170,1963,1.4,3.1,2.70,7.92,93,150,150,240
